bfe,gov_property_value,gov_land_value,unit_sqm_resi,rooms,street_name,street_number,longitude,latitude,building_year,gov_sqm,year,month,floor,y_true,y_pred
135555,1250000.0,131300.0,70.0,3,Frankrigshusene,22,12.60721084,55.6628126,1936.0,65.0,2022,2,3.0,3465000,3517146.0484033935
136683,1150000.0,177900.0,66.0,3,Florensvej,14,12.62080232,55.65777313,1940.0,63.0,2022,2,2.0,2995000,2983686.3632284477
135056,1050000.0,171500.0,57.0,2,Øresundsvej,47,12.61327956,55.66048723,1914.0,50.0,2022,2,2.0,2315000,2527628.5409313804
132769,1000000.0,77800.0,56.0,2,TychoBrahesAllé,8,12.61115147,55.65519155,1904.0,49.0,2022,2,3.0,2325000,2320041.3238340924
136533,1100000.0,187100.0,64.0,2,Tønnesvej,18,12.6186704,55.64512431,1935.0,58.0,2022,2,4.0,2025000,2347484.1764114336
108422,1900000.0,366900.0,93.0,2,C.F.MøllersAllé,30,12.5760612,55.63472226,2007.0,82.0,2022,2,10.0,4385000,4181289.647689404
108931,1100000.0,216400.0,59.0,2,ØrestadsBoulevard,63,12.58208943,55.63278847,2007.0,49.0,2022,2,1.0,2675000,2567198.8885177015
102337,2450000.0,339400.0,80.0,2,IslandsBrygge,30,12.56942963,55.66183508,1961.0,67.0,2022,2,13.0,5350000,4728636.820934671
135841,1950000.0,336900.0,90.0,3,SundbyParkvej,16,12.63055864,55.66281556,2007.0,77.0,2022,2,2.0,5295000,5203586.608682079
113356,1950000.0,463800.0,109.0,1,ØrestadsBoulevard,59,12.58191418,55.63399005,2005.0,96.0,2022,2,5.0,3975000,3657244.3915941454
134238,960000.0,154700.0,60.0,2,Hessensgade,23,12.61604395,55.66489702,1965.0,53.0,2022,2,2.0,2666000,2556814.7725627776
118828,2150000.0,455800.0,108.0,3,EdvardThomsensVej,69,12.57810851,55.63263825,2007.0,83.0,2022,2,11.0,4125000,4291209.9628800955
140681,1100000.0,229100.0,70.0,2,Birketinget,12,12.59689377,55.65642731,1973.0,65.0,2022,2,5.0,2765000,2555007.6280558496
113859,1600000.0,332500.0,83.0,2,EdvardThomsensVej,81,12.57880004,55.63257148,2006.0,76.0,2022,2,3.0,3295000,3284841.017632674
109379,1950000.0,393300.0,98.0,4,C.F.MøllersAllé,68,12.57776102,55.63457005,2007.0,85.0,2022,2,7.0,4600000,4482852.042664515
422676,2750000.0,501200.0,125.0,4,RobertJacobsensVej,1,12.57564119,55.62374217,2017.0,112.0,2022,2,5.0,5250000,4471796.0457281135
122959,880000.0,58000.0,49.0,2,TychoBrahesAllé,27,12.61258618,55.65572449,1903.0,42.0,2022,2,4.0,1925000,2201888.7126612207
140134,1750000.0,441700.0,97.0,3,RobertJacobsensVej,66,12.57223527,55.61811425,2010.0,85.0,2022,2,6.0,3800000,3782919.7061386304
