,bfe_nummer,adresse,offentlig_ejendomsværdi,offentlige_grundværdi,seneste_handelspris,enhedsareal_beboelse,pris_pr_m2,seneste_handelsdato,seneste_handlet_andel,handelsmetode,anvendelse,opførelsesår,tinglyst_areal_ejerlejligheder,longitude,latitude,primær_ejers_adresse,vejnavn,husnr,etage,antal_værelser,year,month,day
132,421342,"Strandlodsvej23A,2.th,2300KøbenhavnS",2300000.0,286700.0,5695000,101.0,56386.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2021.0,92.0,12.62523023,55.66516955,"Strandlodsvej23A,2th,2300KøbenhavnS",Strandlodsvej,23,3.0,3,2022,3,1
133,133593,"Engvej172,1.tv,2300KøbenhavnS",960000.0,257000.0,2600000,57.0,45614.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1963.0,52.0,12.63428773,55.64634514,"Krimsvej1B,20tv,2300KøbenhavnS",Engvej,172,2.0,2,2022,3,1
134,140082,"RichardMortensensVej75,5.1,2300KøbenhavnS",1950000.0,410500.0,3750000,91.0,41208.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2010.0,79.0,12.57123192,55.61732731,"ElseAlfeltsVej72C,4tv,2300KøbenhavnS",RichardMortensensVej,75,6.0,2,2022,3,1
135,407946,"Rundholtsvej56,2.1,2300KøbenhavnS",2450000.0,279000.0,5430000,96.0,56562.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2014.0,85.0,12.56480672,55.65398841,"Rundholtsvej56,2,-1,2300KøbenhavnS",Rundholtsvej,56,3.0,2,2022,3,1
136,136330,"Kongelundsvej61A,st.th,2300KøbenhavnS",960000.0,272700.0,2295000,69.0,33260.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1969.0,65.0,12.58961747,55.63833863,"Kongelundsvej61A,stth,2300KøbenhavnS",Kongelundsvej,61,1.0,2,2022,3,1
137,136701,"Kongelundsvej71A,st.2,2300KøbenhavnS",680000.0,182800.0,1700000,47.0,36170.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1968.0,44.0,12.59020968,55.63747614,"Kongelundsvej71A,st,-2,2300KøbenhavnS",Kongelundsvej,71,1.0,1,2022,3,1
138,125598,"Kretavej49,1.th,2300KøbenhavnS",1400000.0,118100.0,3650000,85.0,42941.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1935.0,80.0,12.62339849,55.6537671,"Degnevænget18,9520Skørping",Kretavej,49,2.0,3,2022,3,1
141,133165,"Lyneborggade27,st.th,2300KøbenhavnS",1800000.0,260800.0,4200000,90.0,46666.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,80.0,12.6111992,55.66372629,,Lyneborggade,27,1.0,3,2022,3,1
142,140234,"Østerdalsgade5,st.th,2300KøbenhavnS",1000000.0,140700.0,2895000,74.0,39121.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1936.0,67.0,12.60255002,55.65514486,"Kirsebæralle30,3400Hillerød",Østerdalsgade,5,1.0,3,2022,3,1
143,117864,"C.F.MøllersAllé66,3.th,2300KøbenhavnS",2050000.0,421100.0,4850000,107.0,45327.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2007.0,91.0,12.57771642,55.63446794,"C.F.MøllersAllé66,3th,2300KøbenhavnS",C.F.MøllersAllé,66,4.0,4,2022,3,1
